iter	Logloss
0	0.6892728174
1	0.6856778492
2	0.6828985607
3	0.6788115035
4	0.6755203011
5	0.6720747667
6	0.6693329004
7	0.6667638659
8	0.6644589603
9	0.6619644603
10	0.6595741734
11	0.6567395367
12	0.6549150169
13	0.6524295711
14	0.6507505859
15	0.6487788148
16	0.6469334749
17	0.6453076287
18	0.6428321463
19	0.6413066242
20	0.639863079
21	0.6385923304
22	0.6374523713
23	0.6360152206
24	0.6350579549
25	0.634054098
26	0.6325252797
27	0.6314323151
28	0.6303964178
29	0.6293912306
30	0.628673632
31	0.6271522597
32	0.6263446794
33	0.6255127983
34	0.6247661701
35	0.6239351025
36	0.6228776911
37	0.6220251055
38	0.6210912809
39	0.620514544
40	0.6197479682
41	0.6189481148
42	0.6184541394
43	0.617808251
44	0.6172419977
45	0.6164425663
46	0.6159568886
47	0.6149125127
48	0.6142967283
49	0.6136402844
50	0.612590414
51	0.611952671
52	0.6115815842
53	0.6110633136
54	0.610153358
55	0.6094992261
56	0.6087662718
57	0.6081186846
58	0.6074860114
59	0.6069831224
60	0.6065564863
61	0.6060922962
62	0.6055370956
63	0.6051984652
64	0.6048603812
65	0.6045893155
66	0.6043357362
67	0.6039108701
68	0.6035997406
69	0.6033342524
70	0.6029664052
71	0.6025724433
72	0.6019321523
73	0.601456505
74	0.6011271291
75	0.6004478369
76	0.6001025928
77	0.5998949878
78	0.5993161517
79	0.5989676741
80	0.5984859942
81	0.5981436745
82	0.5978257017
83	0.5974767623
84	0.5971195411
85	0.5968231269
86	0.5962614715
87	0.5959409739
88	0.5957789523
89	0.5954230682
90	0.5948022662
91	0.5945813176
92	0.5941348288
93	0.5938702767
94	0.5936698757
95	0.5934274773
96	0.5931309172
97	0.5930299817
98	0.5926919911
99	0.5925216578
100	0.5920494136
101	0.5917454259
102	0.5915855999
103	0.5912665652
104	0.590858726
105	0.5906834969
106	0.5903778509
107	0.5899418703
108	0.5894784772
109	0.5892456488
110	0.5888494131
111	0.5885222094
112	0.5881563375
113	0.5876242165
114	0.5875167341
115	0.5873478665
116	0.587117309
117	0.5867841697
118	0.5865461702
119	0.5863722402
120	0.586227732
121	0.5860380538
122	0.5858370679
123	0.5856557988
124	0.5854413865
125	0.5850485194
126	0.5848082259
127	0.5846961588
128	0.5844517434
129	0.584184043
130	0.583983255
131	0.5836026118
132	0.5834743373
133	0.5832410529
134	0.5831571728
135	0.5827459506
136	0.5824926482
137	0.5823785336
138	0.5821253396
139	0.5818882797
140	0.5815942353
141	0.5814454016
142	0.5811814841
143	0.5809435374
144	0.5808423628
145	0.5806928009
146	0.5805225318
147	0.580438863
148	0.5802073402
149	0.580045147
150	0.5798794704
151	0.5798035276
152	0.5796952474
153	0.5795362109
154	0.5793604637
155	0.5791487102
156	0.5789152061
157	0.5788328302
158	0.5787046968
159	0.5785663163
160	0.5782007686
161	0.5781403175
162	0.577976275
163	0.57785592
164	0.5777359892
165	0.5773193734
166	0.5772034504
167	0.5769078404
168	0.5767562654
169	0.5766795974
170	0.5765689928
171	0.5763818165
172	0.5761025883
173	0.5759450044
174	0.5758146308
175	0.5757235231
176	0.575310721
177	0.5749932473
178	0.5749456498
179	0.5745342774
180	0.5743740481
181	0.5742150428
182	0.5739001642
183	0.5737167575
184	0.5733862686
185	0.5733246616
186	0.5731365122
187	0.5730731334
188	0.57298258
189	0.5727834443
190	0.5726130982
191	0.5724839
192	0.5722725487
193	0.5721078834
194	0.571980097
195	0.5719157741
196	0.5717167184
197	0.5715140989
198	0.5713756335
199	0.5712370615
200	0.5710982363
201	0.5709249381
202	0.5707528656
203	0.5706866815
204	0.5706160479
205	0.5705108145
206	0.570455033
207	0.5703938331
208	0.5702225119
209	0.5699233584
210	0.5697147318
211	0.5694827004
212	0.5692751235
213	0.569132621
214	0.5689783518
215	0.5688222471
216	0.5685973436
217	0.5685072371
218	0.5683321137
219	0.568243394
220	0.5680903849
221	0.5680107953
222	0.5678024763
223	0.5676969797
224	0.567529403
225	0.5674322673
226	0.5672681923
227	0.5670480354
228	0.5668256608
229	0.5666330713
230	0.5664177239
231	0.5663041438
232	0.566180482
233	0.5660600746
234	0.5660089214
235	0.5659496571
236	0.5658280995
237	0.5655635938
238	0.5654720851
239	0.5653598243
240	0.5652722523
241	0.5651409997
242	0.5650453927
243	0.5649664464
244	0.5648862725
245	0.5646629761
246	0.5645723257
247	0.5644849026
248	0.5643213509
249	0.5641471035
250	0.5638983102
251	0.5637102848
252	0.563577078
253	0.5633519765
254	0.5632220859
255	0.5630686424
256	0.5629672073
257	0.562865117
258	0.5625705003
259	0.5624730296
260	0.5621712618
261	0.5620063349
262	0.5618102744
263	0.5616712567
264	0.5614458966
265	0.5613166725
266	0.5612891597
267	0.5611818604
268	0.5609640914
269	0.5608551582
270	0.5607780267
271	0.5606746459
272	0.5606156338
273	0.560523101
274	0.5604438287
275	0.560259498
276	0.5600853372
277	0.5599043982
278	0.5597790654
279	0.559684856
280	0.5595034972
281	0.5594189589
282	0.5591553036
283	0.5590834232
284	0.5587776301
285	0.5586189776
286	0.5584423282
287	0.5582326461
288	0.5581272012
289	0.5580986699
290	0.5580320632
291	0.5578965047
292	0.5578435107
293	0.5577218583
294	0.5576531391
295	0.5575895782
296	0.5575093912
297	0.5573481786
298	0.557233275
299	0.5571667135
300	0.5570503456
301	0.5569553918
302	0.5567604678
303	0.5565067966
304	0.5562461131
305	0.5561168852
306	0.5560693705
307	0.5559153891
308	0.5558614834
309	0.5558401386
310	0.5557614452
311	0.5556043303
312	0.5555605846
313	0.5553297511
314	0.5552256603
315	0.5550406019
316	0.5549658529
317	0.5548567754
318	0.5546742318
319	0.5544469063
320	0.5544094774
321	0.554259865
322	0.5540561133
323	0.5539962476
324	0.5538837103
325	0.5537422879
326	0.553614097
327	0.5534320537
328	0.5532249056
329	0.5531583776
330	0.5530924304
331	0.5528492764
332	0.5527309309
333	0.5526429108
334	0.5523322685
335	0.5521503906
336	0.5519258653
337	0.5515368499
338	0.5514539294
339	0.5513888034
340	0.5511760664
341	0.5511067273
342	0.551052752
343	0.5509362774
344	0.5508301644
345	0.5508037396
346	0.5507012669
347	0.5506290378
348	0.5504469479
349	0.5503234889
350	0.5501052913
351	0.5500215346
352	0.5499004563
353	0.5496674382
354	0.549451215
355	0.5492587377
356	0.5489880067
357	0.5487225904
358	0.5486041788
359	0.5483626975
360	0.5480502298
361	0.5479177053
362	0.5477138923
363	0.5476022989
364	0.547534566
365	0.5472787003
366	0.5470498867
367	0.5467135268
368	0.5464901699
369	0.546230388
370	0.546050629
371	0.5458831188
372	0.5457520938
373	0.5456705291
374	0.5453711035
375	0.5452984719
376	0.5452118064
377	0.5449882572
378	0.5448759601
379	0.5446989484
380	0.5446036327
381	0.5442872721
382	0.5441890582
383	0.5441121383
384	0.5439367463
385	0.5437848826
386	0.5435523269
387	0.5434720543
388	0.5433415173
389	0.5432380494
390	0.5429463194
391	0.5428783236
392	0.5426883247
393	0.5425863311
394	0.5423554697
395	0.5420957414
396	0.5420290922
397	0.5418069689
398	0.5415693987
399	0.5414379253
400	0.5413057314
401	0.5412258506
402	0.5410198939
403	0.5408077055
404	0.5406735765
405	0.5405125643
406	0.5402935328
407	0.5401683341
408	0.5400834484
409	0.539961956
410	0.539763994
411	0.5395622989
412	0.5392558807
413	0.5390603022
414	0.5389398119
415	0.5387410654
416	0.5385613281
