iter	Logloss
0	0.6898362732
1	0.6864131473
2	0.6832208086
3	0.6797023633
4	0.6767213995
5	0.6735821184
6	0.6708151846
7	0.6682630414
8	0.6657710622
9	0.6631940581
10	0.6611771973
11	0.659136608
12	0.6571440267
13	0.6551832022
14	0.6535679209
15	0.6515218443
16	0.64983116
17	0.6484470128
18	0.6471511794
19	0.645460995
20	0.6440304835
21	0.6426721452
22	0.641442358
23	0.6398964552
24	0.6389151132
25	0.6372027772
26	0.6361997068
27	0.6352437212
28	0.6335468133
29	0.6325344367
30	0.6315663245
31	0.6307754379
32	0.6297811819
33	0.6288566765
34	0.6275225748
35	0.6266478062
36	0.6257220347
37	0.6249903881
38	0.6244081168
39	0.6235769762
40	0.6226265764
41	0.6221266478
42	0.6214738593
43	0.6208865455
44	0.6201879988
45	0.6196100233
46	0.6188933601
47	0.6182878127
48	0.617499176
49	0.6169146892
50	0.6163895211
51	0.6157882459
52	0.6152996752
53	0.6148369653
54	0.6141852016
55	0.6138473628
56	0.6135435416
57	0.6127279467
58	0.6118803198
59	0.6112487423
60	0.6106350685
61	0.6100136031
62	0.6097588787
63	0.6093076217
64	0.6086059177
65	0.6079630214
66	0.607483094
67	0.6070923779
68	0.6067860255
69	0.6063570283
70	0.6059492746
71	0.6056024887
72	0.6052862823
73	0.6047793926
74	0.6044265124
75	0.6041421564
76	0.6038800908
77	0.6036633789
78	0.603460645
79	0.603090942
80	0.6028082992
81	0.6024979655
82	0.6021550583
83	0.601840441
84	0.6014431516
85	0.6011742777
86	0.6005363437
87	0.6003825219
88	0.5998630958
89	0.5995337839
90	0.599362766
91	0.5989591438
92	0.5985718031
93	0.5982225263
94	0.5979804835
95	0.5976695792
96	0.5974250664
97	0.5970476011
98	0.5968213889
99	0.5964762953
100	0.5962543215
101	0.5957914009
102	0.5956397028
103	0.5952709708
104	0.5950930126
105	0.5949589746
106	0.5946530759
107	0.5945684243
108	0.5943376307
109	0.5937593537
110	0.5933329779
111	0.5931357302
112	0.593015411
113	0.592768221
114	0.5924850179
115	0.592388757
116	0.5922459591
117	0.5920899318
118	0.5919307892
119	0.5917317841
120	0.5912334445
121	0.5911193305
122	0.5908759493
123	0.5906823664
124	0.5903860938
125	0.5902184317
126	0.5898748055
127	0.5895963384
128	0.5894621345
129	0.589222084
130	0.5889278894
131	0.5887461761
132	0.5885228881
133	0.5883881434
134	0.5878508492
135	0.5877834147
136	0.587462977
137	0.5873306844
138	0.5872029249
139	0.5870678977
140	0.5866679038
141	0.586485641
142	0.5863440635
143	0.5861651931
144	0.5860952146
145	0.5858300185
146	0.5855656023
147	0.5854399848
148	0.5853030262
149	0.5851462123
150	0.5849522729
151	0.5848320793
152	0.5846911604
153	0.5844953803
154	0.5843217847
155	0.5840170069
156	0.5836916406
157	0.5835235087
158	0.5833055805
159	0.5831547009
160	0.5830228174
161	0.5828457172
162	0.5826551332
163	0.5824444548
164	0.5823390501
165	0.582176314
166	0.5820508365
167	0.5818199141
168	0.5816211011
169	0.5815007512
170	0.5813607566
171	0.5812726319
172	0.5811092903
173	0.5807834362
174	0.5805953435
175	0.5804464775
176	0.5803200146
177	0.5802623556
178	0.5801065411
179	0.579990009
180	0.5798775265
181	0.5798037927
182	0.5797570462
183	0.5796242937
184	0.579469757
185	0.5792337347
186	0.5791196328
187	0.5788527403
188	0.5786248257
189	0.5784899342
190	0.5783901558
191	0.5782500664
192	0.5781311029
193	0.5778329594
194	0.5776279275
195	0.5772925129
196	0.5771078983
197	0.5770819706
198	0.5770181675
199	0.576940818
200	0.5768202885
201	0.5766737178
202	0.5765335633
203	0.5764293864
204	0.5763381508
205	0.576086349
206	0.5759547703
207	0.5757768739
208	0.5756182322
209	0.5755007294
210	0.5751772638
211	0.5750108981
212	0.5748832251
213	0.5746932902
214	0.5744426392
215	0.5743238227
216	0.5741977228
217	0.5741386581
218	0.5739215472
219	0.5738747937
220	0.5736803158
221	0.5736168024
222	0.573555982
223	0.5733085989
224	0.5732768091
225	0.5730605464
226	0.5729289129
227	0.5728840465
228	0.572734031
229	0.5726589467
230	0.5724968363
231	0.5722654446
232	0.5720344643
233	0.5719218448
234	0.5718431527
235	0.5717235084
236	0.5716196577
237	0.571433233
238	0.5712782706
239	0.571098397
240	0.5709079343
241	0.5705871051
242	0.570527053
243	0.5703621971
244	0.570153766
245	0.5700607513
246	0.5698192271
247	0.5696105102
248	0.5695141215
